raw descriptor;occurences;level_3;level_2;level_1
spring_blossom;79;blossom;flowery;flower
spring_flower;260;spring_flower;flowery;flower
spritz;175;spritzy;high_acid;acid
spritzi;155;spritzy;high_acid;acid
squash_crisper;46;squash;microbial;microbial
squeez_lemon;94;lemon;citrus_fruit;fruit
squeez_lime;72;lime;citrus_fruit;fruit
stainless;79;steel;metal;earth_inorganic
stainless_steel;443;steel;metal;earth_inorganic
stalki;930;stalky;fresh_herbs;vegetal
star_anis;1575;star_anise;baking_spices;spice
status_amaron;62;amarone;high_alcohol;alcohol
steak;286;steak;meat;sulfides
steak_well;94;steak;meat;sulfides
steel;409;steel;metal;earth_inorganic
steeli;1002;steel;metal;earth_inorganic
steeli_edg;79;steel;metal;earth_inorganic
steeli_miner;154;steel;metal;earth_inorganic
steep_prune;52;prune;dried_fruit;fruit
stem;405;stemmy;fresh_herbs;vegetal
stem_earth;41;earth;soil;earth_organic
stemmi;476;stemmy;fresh_herbs;vegetal
stew_prune;117;stewed_prune;dried_fruit;fruit
stick;165;sticky;very_sweet;sweetness
sticki;577;sticky;very_sweet;sweetness
still_young;1062;easy;low_complexity;complexity
stone;2696;stone;rocks;earth_inorganic
stonefruit;77;stone_fruit;stone_fruit;fruit
stoni;435;stone;rocks;earth_inorganic
stoni_miner;198;minerality;rocks;earth_inorganic
stout;171;stout;full_bodied;body
straightforward;1840;low_complexity;low_complexity;complexity
straw;120;strawberry;red_fruit;fruit
straw_color;71;strawberry;red_fruit;fruit
strawberri;4258;strawberry;red_fruit;fruit
strawberri_compot;54;strawberry;red_fruit;fruit
strawberri_jam;127;strawberry;red_fruit;fruit
strawberri_preserv;102;strawberry;red_fruit;fruit
strawberri_rhubarb;76;strawberry;red_fruit;fruit
streak_cola;104;cola;baking_spices;spice
struck_flint;125;struck_flint;rocks;earth_inorganic
structur;13566;full_bodied;full_bodied;body
structur_perfumi;98;perfumed;flowery;flower
sturdi;497;sturdy;full_bodied;body
style_unoak;43;oak;resinous;woody
subt;157;finessed;high_complexity;complexity
subt_season;110;saline;salinity;salinity
subtl;2648;finessed;high_complexity;complexity
subtleti;228;finessed;high_complexity;complexity
subtleti_environ;92;iron;metal;earth_inorganic
succul;1040;succulent;full_bodied;body
sugar;508;sugar;very_sweet;sweetness
sugar_beet;56;sugar;very_sweet;sweetness
sugar_bubbl;930;bubblegum;tropical_fruit;fruit
sugari;326;sugar;very_sweet;sweetness
sulfur;200;sulfur;sulfur;sulfides
summer;403;easy;low_complexity;complexity
summer_afternoon;216;easy;low_complexity;complexity
summer_heat;50;easy;low_complexity;complexity
summer_temperatur;44;easy;low_complexity;complexity
sun_bake;91;earth;soil;earth_organic
sunbak_earth;81;earth;soil;earth_organic
sunni_climat;54;warm;high_alcohol;alcohol
superrip;311;super_ripe;fruity;fruit
superstar_white;175;white;color;visual
suppl;2657;supple;low_tannin;tannin
sushi_green;109;fish;salinity;salinity
sweat;67;sweat;animal;brettanomyces
sweati;155;sweat;animal;brettanomyces
sweet;13150;sweet;sweet;sweetness
sweet_corn;45;sweet_corn;sweet;sweetness
sweeten;98;sweet;sweet;sweetness
sweeter;166;sweet;sweet;sweetness
syrup;528;syrupy;caramel;caramel
syrupi;671;syrupy;caramel;caramel
syrupi_mouthfeel;50;syrupy;caramel;caramel
taco_sushi;54;fish;salinity;salinity
tan_leather;48;leather;leather;sulfides
tang;537;tangy;high_acid;acid
tangerin;1875;tangerine;citrus_fruit;fruit
tangerin_zest;131;tangerine_peel;citrus_fruit;fruit
tangi;3831;tangy;high_acid;acid
tannic;5852;tannin;high_tannin;tannin
tannic_backbon;107;high_tannin;high_tannin;tannin
tannic_bite;126;high_tannin;high_tannin;tannin
tannic_grip;198;grippy;high_tannin;tannin
tannin;37486;tannin;high_tannin;tannin
tannin_clench;62;tannin;high_tannin;tannin
tapenad;73;olive;vegetable;vegetal
taper_toward;44;fortified;high_alcohol;alcohol
tar;1105;tar;petroleum;earth_inorganic
tarragon;248;tarragon;fresh_herbs;vegetal
tarri;318;tar;petroleum;earth_inorganic
tart;8440;tart;high_acid;acid
tartar_acid;80;acid;high_acid;acid
tea;1042;tea;dried_herbs;vegetal
tea_leaf;91;tea;dried_herbs;vegetal
tea_leav;66;tea;dried_herbs;vegetal
teas;231;tea;dried_herbs;vegetal
terribl_complex;53;complex;high_complexity;complexity
therefor_sweeter;175;sweet;sweet;sweetness
thick;2663;thick;full_bodied;body
thin;954;light_bodied;light_bodied;body
thorough_delici;56;delicate;medium_bodied;body
thyme;742;thyme;fresh_herbs;vegetal
thyme_bay;50;thyme;fresh_herbs;vegetal
thyme_oregano;56;thyme;fresh_herbs;vegetal
tight;5601;tight;high_tannin;tannin
tight_coil;58;tight;high_tannin;tannin
tight_compact;58;tight;high_tannin;tannin
tight_drum;41;tight;high_tannin;tannin
tight_grain;96;grain;resinous;woody
tight_knit;224;tight;high_tannin;tannin
tight_wound;1023;tight;high_tannin;tannin
tight_woven;134;tight;high_tannin;tannin
tighten;91;tight;high_tannin;tannin
tighter;76;tight;high_tannin;tannin
till_earth;244;earth;soil;earth_organic
till_soil;559;soil;soil;earth_organic
ting;868;tingling;high_acid;acid
tingl;206;tingly;sparkling;style
tini;182;tinny;metal;earth_inorganic
tini_amount;42;tinny;metal;earth_inorganic
tini_bit;72;bitter;high_tannin;tannin
tini_product;67;tinny;metal;earth_inorganic
tire;151;tire_rubber;rubber;earth_inorganic
tire_rubber;230;rubber;rubber;earth_inorganic
toast;6751;toast;toasted;woody
toast_almond;264;toasted_almond;nutty;nutty
toast_bread;65;toast;toasted;woody
toast_coconut;158;toasted_coconut;resinous;woody
toast_grain;50;grain;resinous;woody
toast_hazelnut;232;toasted_hazelnut;nutty;nutty
toast_marshmallow;48;marshmallow;caramel;caramel
toast_nut;286;toasted_nut;nutty;nutty
toast_walnut;51;toasted_nut;nutty;nutty
toasti;3902;toast;toasted;woody
tobacco;5401;tobacco;dried_herbs;vegetal
tobacco_leaf;349;tobacco;dried_herbs;vegetal
toffe;282;toffee;caramel;caramel
tomato;1294;tomato;vegetable;vegetal
tomato_leaf;428;tomato;vegetable;vegetal
tomato_sauc;71;tomato;vegetable;vegetal
tomato_vine;132;tomato;vegetable;vegetal
tomatoey;156;tomato;vegetable;vegetal
total_refresh;50;fresh;high_acid;acid
touch_reduct;78;reductive;fruity;fruit
tree;205;tree_bark;resinous;woody
tree_bark;256;tree_bark;resinous;woody
tropic;4110;tropical_fruit;tropical_fruit;fruit
truffl;626;truffle;mushroom;earth_organic
turn_earth;285;earth;soil;earth_organic
turn_soil;46;soil;soil;earth_organic
type_gravel;97;gravel;rocks;earth_inorganic
ultrarip;135;ripe;fruity;fruit
umami;152;umami;vegetable;vegetal
unbalanc;59;unbalanc;bodied;body
uncompl;171;simple;low_complexity;complexity
unctuous;403;oil;oil;earth_inorganic
underbrush;1367;undergrowth;undergrowth;earth_organic
underbrush_leather;113;leather;leather;sulfides
underrip;420;underripe;fruity;fruit
underrip_peach;48;peach;stone_fruit;fruit
underseason;92;saline;salinity;salinity
uniqu_soil;109;soil;soil;earth_organic
unoak;231;unoaked;light_bodied;body
unoak_chard;57;unoaked;light_bodied;body
unoak_chardonnay;109;unoaked;light_bodied;body
unrip;160;unripe;fruity;fruit
valley_chard;46;chard;fresh_herbs;vegetal
vanilla;11462;vanilla;resinous;woody
vanilla_bean;239;vanilla;resinous;woody
vanilla_cooki;60;vanilla;resinous;woody
vanilla_cream;205;vanilla;resinous;woody
vanilla_custard;62;vanilla;resinous;woody
vanilla_wafer;57;vanilla;resinous;woody
veget;679;vegetal;vegetable;vegetal
veget_leafi;94;vegetal;vegetable;vegetal
veggi;76;vegetal;vegetable;vegetal
velvet;110;velvety;low_tannin;tannin
velvet_textur;84;velvety;low_tannin;tannin
velveti;2169;velvety;low_tannin;tannin
veri_drinkabl;129;simple;low_complexity;concentration
veri_rustic;171;rustic;high_tannin;tannin
versatil_sweet;175;medium_sweet;sweet;sweetness
vibranc;190;vibrant;high_acid;acid
vibrant;2800;vibrant;high_acid;acid
vine_plant;202;plant;fresh_herbs;vegetal
vinegar;97;vinegar;volatile_acidity;acid
violet;2495;violet;flowery;flower
violet_iri;59;violet;flowery;flower
violet_lavend;71;violet;flowery;flower
violet_lilac;91;violet;flowery;flower
violet_rose;123;violet_rose;flowery;flower
viscos;86;viscous;full_bodied;body
viscous;514;viscous;full_bodied;body
volatil;350;volatile;high_acid;acid
volcan_soil;60;Volcanic Rocks;earth;earth_organic
voluptu;433;voluptuous;full_bodied;body
walnut;163;walnut;nutty;nutty
warm;2976;warm;high_alcohol;alcohol
warm_climat;86;warm;high_alcohol;alcohol
warmer_climat;189;warm;high_alcohol;alcohol
warmth;517;warm;high_alcohol;alcohol
warmth_alcohol;120;warm;high_alcohol;alcohol
water;127;watery;low_concentration;concentration
wateri;174;watery;low_concentration;concentration
watermelon;169;watermelon;melon;fruit
watermelon_strawberri;45;strawberry;red_fruit;fruit
wax;75;wax;oil;earth_inorganic
waxi;348;wax;oil;earth_inorganic
waxi_lemon;54;wax;citrus_fruit;fruit
weedi;307;weed;fresh_herbs;vegetal
weight;3153;weight;full_bodied;body
weight_densiti;46;dense;high_concentration;concentration
weighti;581;full_bodied;full_bodied;body
well;13922;full_bodied;full_bodied;body
well_craft;173;full_bodied;full_bodied;body
well_defin;210;full_bodied;full_bodied;body
well_integr;915;full_bodied;full_bodied;body
wet;320;wet_earth;soil;earth_organic
wet_cement;138;wet_rocks;rocks;earth_inorganic
wet_clay;84;wet_clay;rocks;earth_inorganic
wet_earth;126;wet_earth;soil;earth_organic
wet_gravel;67;gravel;rocks;earth_inorganic
wet_river;41;wet_earth;soil;earth_organic
wet_rock;79;wet_rocks;rocks;earth_inorganic
wet_slate;150;wet_rocks;rocks;earth_inorganic
wet_soil;80;wet_earth;soil;earth_organic
wet_stone;670;wet_rocks;rocks;earth_inorganic
whiff_mediterranean;52;meditteranean_herbs;fresh_herbs;vegetal
white;7304;white;color;visual
white_almond;168;white_almond;nutty;nutty
white_blossom;200;white_blossom;flowery;flower
white_burgundi;115;white;color;visual
white_flower;808;white_flower;flowery;flower
white_peach;1813;peach;stone_fruit;fruit
white_pepper;2995;white_pepper;pepper;spice
white_shelv;98;white;color;visual
white_spring;247;white_blossom;flowery;flower
wild_berri;1274;wild_berry;red_fruit;fruit
wild_flower;173;wild_flower;flowery;flower
wild_strawberri;342;strawberry;red_fruit;fruit
wild_thyme;76;thyme;fresh_herbs;vegetal
wild_yeast;65;yeast;yeast;microbial
wildflow;95;wildflower;flowery;flower
winter;45;wintergreen;vegetable;vegetal
wintergreen;81;wintergreen;vegetable;vegetal
wood;4734;wood;resinous;woody
wood_age;1811;wood_age;resinous;woody
wood_grain;87;grain;resinous;woody
wood_influenc;44;wood;resinous;woody
wood_resin;89;wood_resin;resinous;woody
woodi;1481;wood;resinous;woody
woodland_berri;333;woody_berry;red_fruit;fruit
woodsi;174;wood;resinous;woody
woodspic;298;wood_spice;resinous;woody
yeast;489;yeast;yeast;microbial
yeast_rock;930;yeast;yeast;microbial
yeasti;694;yeast;yeast;microbial
yellow;1830;yellow;color;visual
yellow_appl;900;apple;tree_fruit;fruit
yellow_flower;152;yellow_flower;flowery;flower
yellow_peach;600;peach;stone_fruit;fruit
yellow_pear;306;pear;tree_fruit;fruit
yellow_stone;240;stone;rocks;earth_inorganic
zest;398;zest;citrus_fruit;fruit
zesti;2843;zesty;high_acid;acid
zesti_lime;160;zest;citrus_fruit;fruit
zing;185;zingy;high_acid;acid
zingi;220;zingy;high_acid;acid
zippi;532;zippy;high_acid;acid
